Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"LAW, BOUNDARIES, AND THE BOUNDED SELF","NEDELSKY, J",,,,REPRESENTATIONS,SPR 1990,1990,,30,,,,162,189,,,,,70,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,1,1,4,1,3,2,3,3,4,6,7,4,5,7,4,4,1
"EXCREMENTAL COLONIALISM, PUBLIC-HEALTH AND THE POETICS OF POLLUTION","ANDERSON, W",,,,CRITICAL INQUIRY,SPR 1995,1995,21,3,,,,640,669,,10.1086/448767,,,69,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,3,5,4,3,7,3,4,2,4,2,7,12,2,2,1
"NORMS, DISCIPLINE, AND THE LAW","EWALD, F",,,,REPRESENTATIONS,SPR 1990,1990,,30,,,,138,161,,,,,69,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,3,3,4,9,7,3,4,8,6,4,4,6,2
"PHANTASMAGORIA, SPECTRAL TECHNOLOGY AND THE METAPHORICS OF MODERN REVERIE","CASTLE, T",,,,CRITICAL INQUIRY,FAL 1988,1988,15,1,,,,26,61,,10.1086/448473,,,68,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,3,4,1,2,0,3,0,2,1,3,5,2,2,7,2,9,4,5,3,2,0
VICTORIANS AND AFRICANS - THE GENEALOGY OF THE MYTH OF THE DARK-CONTINENT,"BRANTLINGER, P",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,166,203,,10.1086/448326,,,68,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,2,2,2,0,3,2,3,1,1,0,3,1,5,0,0,3,2,3,7,3,0,7,2,2,0
CONTINGENCIES OF VALUE + LITERARY EVALUATION,"SMITH, BH",,,,CRITICAL INQUIRY,1983,1983,10,1,,,,1,35,,10.1086/448235,,,68,2,0,0,0,0,0,0,0,0,0,0,0,3,6,3,7,5,5,5,7,2,1,1,1,1,1,2,0,1,2,1,1,1,0,1,0,1,0,1,2,1,2,3,1,0
"EMBODIED MEMORY, TRANSCENDENCE, AND TELLING, RECOUNTING TRAUMA, REESTABLISHING THE SELF","CULBERTSON, R",,,,NEW LITERARY HISTORY,WIN 1995,1995,26,1,,,,169,195,,10.1353/nlh.1995.0007,,,67,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,3,6,5,4,6,6,7,3,5,1
"RACE INTO CULTURE, A CRITICAL GENEALOGY OF CULTURAL-IDENTITY","MICHAELS, WB",,,,CRITICAL INQUIRY,SUM 1992,1992,18,4,,,,655,685,,10.1086/448651,,,67,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,9,4,8,1,1,3,4,1,2,3,1,2,5,1,1,2,1,2,2,3,1
UNITY IDENTITY TEXT SELF + THE RECEPTIVITY OF LITERATURE TO MANY READERS,"HOLLAND, NN",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1975,1975,90,5,,,,813,822,,10.2307/461467,,,67,1.6,0,0,0,8,6,4,3,2,2,1,1,4,5,4,2,6,0,2,1,2,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,3,1,1,0
"Cosmopolitan patriots + Postcolonial Africa, liberalism, Ghana","Appiah, KA",,,,CRITICAL INQUIRY,SPR 1997,1997,23,3,,,,617,639,,10.1086/448846,,,66,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,2,0,4,1,3,4,4,8,8,5,5,6,9,0
THE SAINT AS EXEMPLAR IN LATE ANTIQUITY,"BROWN, P",,,,REPRESENTATIONS,1983,1983,1,2,,,,1,25,,,,,66,1.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,1,1,1,0,2,1,0,7,4,3,3,4,1,3,4,0,3,1,1,1,1,4,9,2,2,0
AUFBAU BAUHAUS - LOGICAL-POSITIVISM AND ARCHITECTURAL MODERNISM,"GALISON, P",,,,CRITICAL INQUIRY,SUM 1990,1990,16,4,,,,709,752,,10.1086/448557,,,65,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,4,4,3,3,1,3,0,3,3,2,2,1,5,7,3,9,3,2,0
The end of temporality,"Jameson, F",,,,CRITICAL INQUIRY,SUM 2003,2003,29,4,,,,695,718,,10.1086/377726,,,64,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,8,2,8,8,10,4,10,6,0
ORIGIN OF GENRES,"TODOROV, T",,,,NEW LITERARY HISTORY,1976,1976,8,1,,,,159,170,,10.2307/468619,,,64,1.56,0,0,0,0,0,2,1,4,1,0,0,1,3,2,1,1,0,3,2,2,1,0,0,1,1,0,3,2,1,0,1,0,2,5,2,3,2,2,2,2,3,2,5,1
"Drama, performativity, and performance","Worthen, WB",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 1998,1998,113,5,,,,1093,1107,,10.2307/463244,,,63,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,6,3,4,3,2,4,5,3,1,8,4,6,3,2,0
"BABBAGE INTELLIGENCE, CALCULATING ENGINES AND THE FACTORY SYSTEM","SCHAFFER, S",,,,CRITICAL INQUIRY,FAL 1994,1994,21,1,,,,203,227,,10.1086/448746,,,63,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,3,1,3,2,6,2,1,0,2,3,4,3,3,4,4,6,0
"Innovation, literature, ethics: Relating to the other","Attridge, D",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1999,1999,114,1,,,,20,31,,10.2307/463424,,,62,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,4,4,6,2,3,5,5,0,2,5,4,2,6,3,1
"ANDROGYNY, MIMESIS, AND THE MARRIAGE OF THE BOY HEROINE ON THE ENGLISH-RENAISSANCE STAGE","RACKIN, P",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1987,1987,102,1,,,,29,41,,10.2307/462490,,,62,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,1,2,3,2,3,2,3,3,1,0,4,1,1,0,5,1,0,2,0,0,5,3,4,4,0,0
RACISMS LAST WORD,"DERRIDA, J",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,290,299,,10.1086/448331,,,61,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,5,2,3,1,3,3,1,1,3,0,0,0,1,1,0,1,1,3,1,4,2,3,5,3,2,4,0
What is a 'relevant' translation?,"Derrida, J",,,,CRITICAL INQUIRY,WIN 2001,2001,27,2,,,,174,2000,,10.1086/449005,,,60,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,4,4,6,2,5,10,4,5,4,0
In pursuit of ethics - Introduction (ethics and literary studies),"Buell, L",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1999,1999,114,1,,,,7,19,,,,,60,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,4,7,3,2,6,2,2,6,4,2,1,3,2,0
"ENVISIONING CAPITAL, POLITICAL-ECONOMY ON DISPLAY","BUCKMORSS, S",,,,CRITICAL INQUIRY,WIN 1995,1995,21,2,,,,434,467,,10.1086/448759,,,59,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,4,1,3,1,1,5,1,2,2,2,1,3,5,3,4,5,6,0
ON TRAUMATIC KNOWLEDGE AND LITERARY-STUDIES,"HARTMAN, GH",,,,NEW LITERARY HISTORY,SUM 1995,1995,26,3,,,,537,563,,10.1353/nlh.1995.0043,,,59,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,2,3,5,0,2,6,2,4,6,6,5,3,6,0
"LIKE THE SOUND OF THE SEA DEEP WITHIN A SHELL - DEMAN,PAUL WAR","DERRIDA, J",,,,CRITICAL INQUIRY,SPR 1988,1988,14,3,,,,590,652,,10.1086/448458,,,59,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,13,5,2,1,3,1,3,0,2,1,2,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0
PRESENCE AND REPRESENTATION - THE OTHER AND ANTHROPOLOGICAL WRITING,"FABIAN, J",,,,CRITICAL INQUIRY,SUM 1990,1990,16,4,,,,753,772,,10.1086/448558,,,58,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,1,3,2,1,2,3,5,2,3,1,0,1,0,0,3,3,1,1,4,3,3,4,1
WRITING RACE AND THE DIFFERENCE IT MAKES,"GATES, HL",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,1,20,,,,,58,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,3,3,0,2,5,1,3,1,2,4,1,0,5,0,3,3,0,2,0,3,2,2,2,2,0
"A MAP FOR REREADING - OR, GENDER AND THE INTERPRETATION OF LITERARY-TEXTS","KOLODNY, A",,,,NEW LITERARY HISTORY,1980,1980,11,3,,,,451,467,,10.2307/468938,,,58,1.57,0,0,0,0,0,0,0,0,4,0,2,1,0,5,1,5,5,6,3,1,1,2,1,1,2,0,2,0,0,3,0,0,0,2,0,2,1,3,1,0,3,0,1,0
PROBLEM OF TEXTUALITY - 2 EXEMPLARY POSITIONS,"SAID, EW",,,,CRITICAL INQUIRY,1978,1978,4,4,,,,673,714,,10.1086/447962,,,58,1.49,0,0,0,0,0,1,1,3,2,2,4,1,2,0,3,3,2,1,1,1,0,0,2,0,0,0,1,0,0,0,1,3,1,1,2,4,2,3,5,1,2,3,0,0
Is the post- in postcolonial the post- in post-Soviet? Toward a global postcolonial critique,"Moore, DC",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 2001,2001,116,1,,,,111,128,,,,,57,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,3,5,4,1,14,9,8,4,2
"Scripts, sequences, and stories: Elements of a postclassical narratology","Herman, D",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 1997,1997,112,5,,,,1046,1059,,10.2307/463482,,,57,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,9,1,2,3,2,2,7,5,1,1,5,7,1,0
"VACATION CRUISES - OR, THE HOMOEROTICS OF ORIENTALISM","BOONE, JA",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1995,1995,110,1,,,,89,107,,10.2307/463197,,,56,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,2,3,6,3,3,1,2,2,1,3,4,2,6,6,2,1,0
"COMING UNSTRUNG - WOMEN, MEN, NARRATIVE, AND PRINCIPLES OF PLEASURE","WINNETT, S",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 1990,1990,105,3,,,,505,518,,10.2307/462898,,,56,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,5,4,1,0,1,2,1,0,1,1,1,2,4,3,2,1,4,3,1,1,3,2,0
THE TROPE OF A NEW NEGRO AND THE RECONSTRUCTION OF THE IMAGE OF THE BLACK,"GATES, HL",,,,REPRESENTATIONS,FAL 1988,1988,,24,,,,129,155,,,,,56,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,3,1,2,3,2,3,5,5,4,7,4,4,6,2,0
The privilege of the nonnative speaker + Multilingualism and cross-cultural contacts,"Kramsch, C",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 1997,1997,112,3,,,,359,369,,,,,55,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,3,0,3,3,3,1,8,5,6,3,6,1,6,0
The state of shame: Australian multiculturalism and the crisis of indigenous citizenship,"Povinelli, EA",,,,CRITICAL INQUIRY,WIN 1998,1998,24,2,,,,575,610,,10.1086/448886,,,54,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,2,4,3,2,0,2,4,7,2,4,3,3,4,3,1
SELF EVIDENCE,"SCHAFFER, S",,,,CRITICAL INQUIRY,WIN 1992,1992,18,2,,,,327,362,,10.1086/448635,,,54,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,6,2,1,4,1,1,3,2,3,1,0,0,6,0,5,2,2,2,6,2,0,0
"THE AUTHOR AS PROPRIETOR, DONALDSON-V-BECKET AND THE GENEALOGY OF MODERN AUTHORSHIP","ROSE, M",,,,REPRESENTATIONS,SUM 1988,1988,,23,,,,51,85,,,,,54,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,3,1,2,1,0,3,6,6,1,2,1,6,3,4,5,1,0
SYLLEPSIS,"RIFFATERRE, M",,,,CRITICAL INQUIRY,1980,1980,6,4,,,,625,638,,10.1086/448071,,,54,1.46,0,0,0,0,0,0,0,0,3,1,4,3,0,4,3,1,1,1,1,2,1,1,1,0,4,1,1,2,1,1,1,2,1,3,0,1,3,2,0,2,2,0,0,0
ON SEMIOTIC MECHANISM OF CULTURE,"LOTMAN, YM; USPENSKY, BA",,,,NEW LITERARY HISTORY,1978,1978,9,2,,,,211,232,,10.2307/468571,,,54,1.38,0,0,0,0,0,1,1,0,2,1,0,1,3,5,2,1,2,3,1,2,1,3,0,3,0,0,0,2,0,0,0,0,2,2,1,1,0,1,2,2,2,3,4,0
"BLACKFACE, WHITE-NOISE, THE JEWISH JAZZ SINGER FINDS HIS VOICE","ROGIN, M",,,,CRITICAL INQUIRY,SPR 1992,1992,18,3,,,,417,453,,10.1086/448640,,,53,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,7,4,4,3,3,1,2,1,1,2,0,0,1,0,1,1,3,4,2,1,0
Queering history,"Goldberg, J; Menon, M",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 2005,2005,120,5,,,,1608,1617,,10.1632/003081205X73443,,,52,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,3,10,2,5,10,5,1
"Culture and finance capital (Historical change, money and modernism)","Jameson, F",,,,CRITICAL INQUIRY,FAL 1997,1997,24,1,,,,246,265,,10.1086/448873,,,52,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,3,1,2,2,4,1,3,8,6,5,6,2,0
Fantasy echo: History and the construction of identity,"Scott, JW",,,,CRITICAL INQUIRY,WIN 2001,2001,27,2,,,,284,304,,10.1086/449009,,,51,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,4,2,2,5,4,8,4,10,2,0
"Melancholy and the act (Ethnicity, postcolonial nostalgia, global capitalism)","Zizek, S",,,,CRITICAL INQUIRY,SUM 2000,2000,26,4,,,,657,681,,10.1086/448987,,,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,3,5,4,5,6,7,7,3,1,0
THE WORK OF GENDER IN THE DISCOURSE OF DISCOVERY - ON SEX AS A CATEGORY OF HISTORICAL-ANALYSIS,"MONTROSE, L",,,,REPRESENTATIONS,WIN 1991,1991,,33,,,,1,41,,,,,51,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,3,0,1,1,3,2,4,3,4,1,2,3,2,4,6,4,1,0
DECOMPOSITION OF ELEPHANTS - DOUBLE-READING 'DANIEL DERONDA',"CHASE, C",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1978,1978,93,2,,,,215,227,,10.2307/461957,,,51,1.31,0,0,0,0,0,1,2,3,0,3,1,3,2,1,2,2,3,3,1,1,1,1,0,2,1,5,1,0,0,2,0,2,0,1,1,2,1,1,0,0,1,1,0,0
"IN-COLD-BLOOD, HIERARCHIES OF CREDIBILITY AND THE POLITICS OF COLONIAL NARRATIVES","STOLER, AL",,,,REPRESENTATIONS,WIN 1992,1992,,37,,,,151,189,,,,,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,3,1,0,1,5,2,6,6,2,1,2,4,2,5,1,0
THE POSTULATED AUTHOR + CRITICAL MONISM AS A REGULATIVE IDEAL,"NEHAMAS, A",,,,CRITICAL INQUIRY,1981,1981,8,1,,,,133,149,,10.1086/448144,,,50,1.39,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,1,1,0,0,2,1,1,2,1,0,0,1,2,1,2,1,3,3,1,1,1,2,4,5,2,2,2,1
LIMITS OF PLURALISM .3. CRITIC AS HOST,"MILLER, JH",,,,CRITICAL INQUIRY,1977,1977,3,3,,,,439,447,,10.1086/447899,,,50,1.25,0,0,0,0,1,0,1,6,1,1,3,5,2,3,2,1,4,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,3,3,2,2,0
"Packing history, count(er)ing generations","Freeman, E",,,,NEW LITERARY HISTORY,FAL 2000,2000,31,4,,,,727,744,,,,,49,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,4,2,6,11,5,5,3,3,1
"Forgetting Foucault: Acts, identities, and the history of sexuality","Halperin, DM",,,,REPRESENTATIONS,SUM 1998,1998,,63,,,,93,120,,,,,49,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,0,3,4,4,4,3,3,6,7,1,3,2,0
CASTES OF MIND + THE INSTITUTION OF CASTE IN INDIA,"DIRKS, NB",,,,REPRESENTATIONS,WIN 1992,1992,,37,,,,56,78,,,,,49,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,5,6,4,4,4,1,1,2,1,1,1,4,1,0,4,4,1
THE BLANK PAGE AND THE ISSUES OF FEMALE CREATIVITY,"GUBAR, S",,,,CRITICAL INQUIRY,1981,1981,8,2,,,,243,263,,10.1086/448153,,,49,1.36,0,0,0,0,0,0,0,0,0,1,1,2,5,2,6,6,3,2,0,0,1,0,2,0,2,2,0,0,3,1,1,0,0,0,1,0,2,1,2,2,0,0,1,0
PICTURING VISION + PERFECT OCULAR IMAGES,"SNYDER, J",,,,CRITICAL INQUIRY,1980,1980,6,3,,,,499,526,,10.1086/448062,,,49,1.32,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,2,1,0,0,1,2,3,1,3,1,0,1,3,0,0,0,1,1,2,4,2,1,2,4,3,2,0,0
ALTERITY AND MODERNITY OF MEDIEVAL-LITERATURE,"JAUSS, HR",,,,NEW LITERARY HISTORY,1979,1979,10,2,,,,181,227,,10.2307/468759,,,49,1.29,0,0,0,0,0,0,0,1,0,2,2,5,0,3,1,1,4,0,0,1,0,1,3,0,6,0,2,1,0,0,2,1,0,1,1,3,2,1,1,2,0,0,2,0
SIGN AND SYMBOL IN HEGEL 'AESTHETICS',"DEMAN, P",,,,CRITICAL INQUIRY,1982,1982,8,4,,,,761,775,,10.1086/448180,,,48,1.37,0,0,0,0,0,0,0,0,0,0,2,4,2,3,2,5,2,4,2,2,2,2,2,1,0,3,0,1,1,0,1,0,0,2,1,1,0,0,1,0,1,1,0,0
INTRODUCTION TO THE PARATEXT,"GENETTE, G",,,,NEW LITERARY HISTORY,SPR 1991,1991,22,2,,,,261,272,,10.2307/469037,,,47,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,2,0,0,0,0,0,1,0,2,2,3,7,6,5,13,0
LIMITS OF PLURALISM .2. DECONSTRUCTIVE ANGEL,"ABRAMS, MH",,,,CRITICAL INQUIRY,1977,1977,3,3,,,,425,438,,10.1086/447898,,,47,1.17,0,0,0,0,0,0,4,2,1,1,5,3,3,2,4,3,2,1,1,1,1,1,3,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0
Postcolonial Studies and the Challenge of Climate Change,"Chakrabarty, Dipesh",,,,NEW LITERARY HISTORY,WIN 2012,2012,43,1,,,,1,18,,,,,46,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,19,16,3
Close but not Deep: Literary Ethics and the Descriptive Turn,"Love, Heather",,,,NEW LITERARY HISTORY,SPR 2010,2010,41,2,,,,371,391,,,,,46,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,11,18,0
"The defecating duck, or, the ambiguous origins of artificial life","Riskin, J",,,,CRITICAL INQUIRY,SUM 2003,2003,29,4,,,,599,633,,10.1086/377722,,,46,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,4,3,8,9,1,5,5,1
"Auerbach in Istanbul: Edward Said, secular criticism, and the question of minority culture","Mufti, AR",,,,CRITICAL INQUIRY,FAL 1998,1998,25,1,,,,95,125,,10.1086/448910,,,46,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,2,5,3,3,6,9,5,1,3,0
"TOWARD A THEORY OF THE ENGAGING NARRATOR - EARNEST INTERVENTIONS IN GASKELL, STOWE, AND ELIOT","WARHOL, RR",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 1986,1986,101,5,,,,811,818,,10.2307/462357,,,46,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,4,1,2,2,2,2,2,0,2,0,0,2,2,0,1,1,3,1,0,1,1,1,1,2,1,0,1
IT TAKES ONE TO KNOW ONE + GENDER AND RACIAL ISSUES - PASSING AND COMMUNITIES OF COMMON INTEREST,"ROBINSON, A",,,,CRITICAL INQUIRY,SUM 1994,1994,20,4,,,,715,736,,10.1086/448734,,,45,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,2,5,1,5,2,1,2,1,5,1,2,4,1,2,3,0
THE CHARACTER IN THE VEIL - IMAGERY OF THE SURFACE IN THE GOTHIC-NOVEL,"SEDGWICK, EK",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1981,1981,96,2,,,,255,270,,10.2307/461992,,,45,1.25,0,0,0,0,0,0,0,0,1,1,2,1,3,1,2,0,3,1,1,2,0,0,3,1,2,0,0,0,1,0,0,0,1,4,0,0,4,1,1,3,3,2,0,1
Secularism (Edward W. Said),"Anidjar, Gil",,,,CRITICAL INQUIRY,FAL 2006,2006,33,1,,,,52,77,,10.1086/509746,,,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,6,2,4,6,8,2
Global literature and technologies of recognition,"Shih, SM",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 2004,2004,119,1,,,,16,30,,10.1632/003081204X22828,,,44,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,5,1,6,5,5,3,4,9,0
Toward an anthropology of ethics: Foucault and the pedagogies of autopoiesis,"Faubion, JD",,,,REPRESENTATIONS,SPR 2001,2001,,74,,,,83,104,,,,,44,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,3,6,4,3,5,9,6,1
WHAT DOES QUEER THEORY TEACH US ABOUT X,"BERLANT, L; WARNER, M",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 1995,1995,110,3,,,,343,349,,,,,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,3,1,0,2,0,0,1,3,2,1,1,3,4,2,7,4,0
"WOMAN SKIN DEEP, FEMINISM AND THE POSTCOLONIAL CONDITION","SULERI, S",,,,CRITICAL INQUIRY,SUM 1992,1992,18,4,,,,756,769,,10.1086/448655,,,44,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,2,2,3,3,0,2,0,2,0,3,1,2,4,0,1,5,2,0,0,0
CARIBBEAN AND AFRICAN APPROPRIATIONS OF THE 'TEMPEST' + NEWLY ARTICULATED ANTICOLONIAL SENTIMENT,"NIXON, R",,,,CRITICAL INQUIRY,SPR 1987,1987,13,3,,,,557,578,,10.1086/448408,,,44,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,3,5,3,0,1,2,1,1,1,1,1,2,1,1,1,1,4,3,2,0,0,0
Comics as literature? Reading graphic narrative,"Chute, Hillary",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 2008,2008,123,2,,,,452,465,,10.1632/pmla.2008.123.2.452,,,43,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,9,11,4,7,0
